ROI_id	ROI_name	region	pathway	source
48	LIPv	SPL	dorsal	HCP_MMP1
95	LIPd	SPL	dorsal	HCP_MMP1
49	VIP	SPL	dorsal	HCP_MMP1
117	AIP	SPL	dorsal	HCP_MMP1
50	MIP	SPL	dorsal	HCP_MMP1
47	7PC	SPL	dorsal	HCP_MMP1
42	7AL	SPL	dorsal	HCP_MMP1
45	7Am	SPL	dorsal	HCP_MMP1
46	7PL	SPL	dorsal	HCP_MMP1
29	7Pm	SPL	dorsal	HCP_MMP1
143	PGp	IPL	dorsal	HCP_MMP1
151	PGs	IPL	dorsal	HCP_MMP1
150	PGi	IPL	dorsal	HCP_MMP1
149	PFm	IPL	dorsal	HCP_MMP1
148	PF	IPL	dorsal	HCP_MMP1
116	PFt	IPL	dorsal	HCP_MMP1
147	PFop	IPL	dorsal	HCP_MMP1
146	IP0	IPL	dorsal	HCP_MMP1
145	IP1	IPL	dorsal	HCP_MMP1
144	IP2	IPL	dorsal	HCP_MMP1
27	PCV	PCC	dorsal	HCP_MMP1
31	POS1	PCC	dorsal	HCP_MMP1
15	POS2	PCC	dorsal	HCP_MMP1
14	RSC	PCC	dorsal	HCP_MMP1
33	v23ab	PCC	dorsal	HCP_MMP1
34	d23ab	PCC	dorsal	HCP_MMP1
32	23d	PCC	dorsal	HCP_MMP1
32	23d	PCC	dorsal	HCP_MMP1
35	31pv	PCC	dorsal	HCP_MMP1
161	31pd	PCC	dorsal	HCP_MMP1
162	31a	PCC	dorsal	HCP_MMP1
30	7m	PCC	dorsal	HCP_MMP1
1	pVTC	ITL	ventral	NSD
2	aVTC	ITL	ventral	NSD
3	v1	OCC	ventral	NSD
4	v2	OCC	ventral	NSD
5	v3	OCC	ventral	NSD
